Gastag;SLPsyn H-Gas;SLPana H-Gas;SLPsyn L-Gas;SLPana L-Gas;RLMmT H-Gas;RLMmT L-Gas;RLMoT H-Gas;RLMoT L-Gas;Status
10.02.2022;1.146.690.480;250.371.864;276.311.640;87.033.912;1.611.127.944;244.100.664;100.405.049;12.560.022;korrigiert
09.02.2022;1.097.670.192;259.681.176;248.280.168;95.708.376;1.523.687.760;236.245.440;98.772.378;7.831.430;korrigiert
08.02.2022;1.207.139.784;261.329.088;278.749.632;94.727.760;1.500.153.600;237.948.456;98.483.104;5.318.046;korrigiert
07.02.2022;1.292.908.296;269.583.792;309.650.064;92.591.376;1.588.205.448;252.410.112;105.207.254;6.692.488;korrigiert
06.02.2022;1.212.449.976;264.500.352;290.078.664;91.470.696;1.307.177.760;211.625.856;87.771.538;2.034.754;korrigiert
05.02.2022;1.217.119.704;260.564.976;295.743.288;89.183.304;1.311.998.352;204.044.400;88.937.732;1.409.770;korrigiert
04.02.2022;1.147.344.528;263.861.376;280.592.376;90.112.392;1.491.396.240;239.689.440;95.067.071;4.660.621;korrigiert
03.02.2022;1.172.277.240;280.496.448;276.487.848;99.023.976;1.650.309.360;242.725.632;105.035.975;6.930.796;korrigiert
02.02.2022;1.263.136.440;283.465.848;297.311.088;102.972.216;1.638.055.824;247.827.912;99.691.957;6.985.682;korrigiert
01.02.2022;1.369.581.960;283.160.664;318.280.848;97.385.616;1.609.829.064;257.052.336;94.693.479;4.915.970;korrigiert
31.01.2022;1.358.666.832;275.643.024;320.480.640;91.846.656;1.698.135.144;260.012.256;108.871.095;8.885.393;final
30.01.2022;1.230.964.344;275.284.584;289.894.776;97.994.040;1.339.292.928;212.862.312;91.148.756;1.974.979;final
29.01.2022;1.232.890.368;276.770.376;274.765.272;101.726.856;1.301.899.368;203.994.816;85.194.238;1.252.430;final
28.01.2022;1.394.762.928;292.807.632;324.772.200;109.532.808;1.631.527.128;248.602.896;100.862.669;6.837.580;final
27.01.2022;1.458.251.496;291.264.864;340.044.696;104.874.120;1.661.413.944;264.478.080;98.593.569;7.429.954;final
26.01.2022;1.500.926.208;286.944.648;366.428.904;98.793.000;1.813.442.880;274.147.968;105.567.409;9.123.087;final
25.01.2022;1.442.775.384;274.954.176;356.346.264;95.860.776;1.942.353.048;269.767.752;109.554.141;13.629.190;final
24.01.2022;1.359.135.696;278.446.608;333.012.528;102.219.672;1.927.171.608;261.755.208;98.594.788;11.035.851;final
23.01.2022;1.297.846.776;291.409.608;302.893.608;106.596.432;1.586.825.256;219.889.512;98.380.508;6.247.778;final
22.01.2022;1.368.651.864;301.322.544;312.685.320;108.633.096;1.577.563.560;220.550.352;102.929.360;9.274.474;final
21.01.2022;1.528.137.960;302.634.888;353.307.840;103.749.096;1.705.124.472;270.631.392;109.339.352;8.563.645;final
