,slp,rlm,industry,gas_to_electricity_public,electricity_from_gas,gas_price [€/MWh],producing_sector,manufacturing_sector,hospitality_sector,retail_sector,residential,commercial,decentral_chp,industry_buildings,aggregated,solar,temperature,temp_inertia,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,bridgeday
2017-07-17,0.27185600000000004,1.383726154,0.8012362031345311,0.3544091387307016,0.22633020715819974,,101.9,100.7,113.0,104.5,0.21464853125303796,0.04357739732783544,0.006670009795076853,0.011116682991794757,0.2582259285808734,2.097843357945744e-10,291.9890295660635,290.9634510480623,2017-07-17,197.0,2017,7,Monday,0,1,0,0,0,0,0
2017-07-18,0.23223468800000002,1.354643549,0.7505074095777626,0.39049584356441863,0.24937563823800626,,101.9,100.7,113.0,104.5,0.19183623482065876,0.0362986945656334,0.00555592263759695,0.009259871062661582,0.22813492938629215,2.7699099206135953e-10,293.45887247815637,292.3664574466882,2017-07-18,198.0,2017,7,Tuesday,1,0,0,0,0,0,0
2017-07-19,0.191362592,1.349399952,0.777015138367211,0.3511987974411994,0.22428004216611225,,101.9,100.7,113.0,104.5,0.16583546542440433,0.028228326442967817,0.004320662210658339,0.0072011036844305655,0.19406379186737216,2.840729756708357e-10,296.0818495565063,294.47293028563485,2017-07-19,199.0,2017,7,Wednesday,2,0,0,0,0,0,0
2017-07-20,0.18890082400000002,1.3761901619999999,0.7666283802157517,0.3913324720237514,0.2499099198685347,,101.9,100.7,113.0,104.5,0.16771772846332988,0.028644121351646675,0.004384304288517348,0.007307173814195581,0.19636184981497656,1.9368301660420281e-10,293.6554489045098,294.1651852199021,2017-07-20,200.0,2017,7,Thursday,3,0,0,0,0,0,0
2017-07-21,0.192527032,1.283774308,0.7427353697301279,0.3296110401462763,0.21049382435542116,,101.9,100.7,113.0,104.5,0.17216196149351107,0.029148210938417945,0.004461460857921114,0.00743576809653519,0.201310172431929,2.560631711213684e-10,293.2472016744808,293.7481305953561,2017-07-21,201.0,2017,7,Friday,4,0,1,0,0,0,0
2017-07-22,0.187583216,1.023289393,0.6415098971812351,0.19916655625215365,0.12719030919173704,,101.9,100.7,113.0,104.5,0.17381282574264936,0.028006964532528166,0.004286780285591046,0.00714463380931841,0.20181979027517752,2.233262608572149e-10,293.58341249917873,293.66992405272686,2017-07-22,202.0,2017,7,Saturday,5,0,0,1,0,0,0
2017-07-23,0.21173970400000003,1.028191869,0.6872596453613502,0.14529610853521155,0.09278795253934563,,101.9,100.7,113.0,104.5,0.19348625813953627,0.034760753575688516,0.005320523506482936,0.00886753917747156,0.22824701171522477,2.0765619274749245e-10,291.13530204670957,292.23772729549347,2017-07-23,203.0,2017,7,Sunday,6,0,0,1,0,0,0
2017-07-24,0.26439164800000003,1.35349757,0.7679630689836761,0.36692525722770375,0.23432316045051185,,101.9,100.7,113.0,104.5,0.23525340759321342,0.050713519761708584,0.007762273432914579,0.012937122388190966,0.285966927354922,1.4906136333725308e-10,288.49869175030204,290.1963185888754,2017-07-24,204.0,2017,7,Monday,0,1,0,0,0,0,0
2017-07-25,0.333119,1.321636019,0.8271804719592329,0.2589894097289407,0.165393948264611,,101.9,100.7,113.0,104.5,0.2917239794123426,0.06767438116380031,0.010358323647520458,0.017263872745867426,0.35939836057614294,8.684865417225641e-11,287.46996092084686,288.6405648500506,2017-07-25,205.0,2017,7,Tuesday,1,0,0,0,0,0,0
2017-07-26,0.33821368,1.31413383,0.8140419865768188,0.2683657223568995,0.1713817813861448,,101.9,100.7,113.0,104.5,0.2937588618616783,0.06951895895281955,0.010640656982574421,0.017734428304290704,0.3632778208144979,1.1407784620667523e-10,289.05054456667057,288.6944594091667,2017-07-26,206.0,2017,7,Wednesday,2,0,0,0,0,0,0
