time,Temp [K]
2017-09-02,287.29817847354497
2017-09-03,286.16724477852006
2017-09-04,286.54747719183047
2017-09-05,288.4660117716345
2017-09-06,289.07915305058225
2017-09-07,288.19231270221627
2017-09-08,287.83700350195323
2017-09-09,287.28675628818297
2017-09-10,286.7545613568521
2017-09-11,286.7897867254593
2017-09-12,286.3899749141853
2017-09-13,286.5965982363561
2017-09-14,285.62980153417806
2017-09-15,284.9997275671563
2017-09-16,284.01869789907335
2017-09-17,283.56251049820065
2017-09-18,283.38535361256027
2017-09-19,283.5315846146839
2017-09-20,283.9014209363208
2017-09-21,284.49074108840165
2017-09-22,285.06192415242526
2017-09-23,285.54476454352533
2017-09-24,285.90625706443035
2017-09-25,286.05445318237145
2017-09-26,286.23716245768344
2017-09-27,286.67718918622336
2017-09-28,287.37802203926805
2017-09-29,288.51182711940004
2017-09-30,288.07993177669385
2017-10-01,286.50266592945314
2017-10-02,286.41478023513224
2017-10-03,285.63748321201734
2017-10-04,284.790579010792
2017-10-05,284.7076819486192
2017-10-06,283.5144371420694
2017-10-07,283.10729317609156
2017-10-08,283.25190470388793
2017-10-09,282.98912906258636
2017-10-10,284.0662885852946
2017-10-11,285.38253134756184
2017-10-12,285.8796702494396
2017-10-13,286.1815306227889
2017-10-14,287.0487625526623
2017-10-15,287.4188691929314
2017-10-16,288.1318410223272
2017-10-17,287.8163804361454
2017-10-18,286.6946546779653
2017-10-19,286.3004355862433
2017-10-20,286.14662239016815
2017-10-21,285.7479046338715
2017-10-22,284.17216011258813
2017-10-23,283.19212823708176
2017-10-24,283.9475994809515
2017-10-25,285.42413822933804
2017-10-26,285.4957376379169
2017-10-27,284.5221362676565
2017-10-28,283.20519721440263
2017-10-29,282.31127350370883
2017-10-30,280.28484883079597
2017-10-31,279.59371855009454
2017-11-01,280.62093455348156
2017-11-02,281.5244203360228
2017-11-03,281.50936261721364
2017-11-04,281.7131165452929
2017-11-05,281.3970181463028
2017-11-06,279.4641584083005
2017-11-07,278.43231328481704
2017-11-08,278.81273338776185
2017-11-09,279.0970523358273
2017-11-10,279.2980461703444
2017-11-11,278.844727669681
2017-11-12,277.78597770060844
2017-11-13,277.2008397067153
2017-11-14,276.65398445131314
2017-11-15,277.29986475827764
2017-11-16,277.5607503139311
2017-11-17,277.4850809344527
2017-11-18,277.1853182463119
2017-11-19,277.1287550003839
2017-11-20,276.9372711927471
2017-11-21,278.6567888624295
2017-11-22,280.0792638961618
2017-11-23,281.40421609275995
2017-11-24,281.6103477059335
2017-11-25,279.4997379154919
2017-11-26,277.3662310902959
2017-11-27,276.90039651802135
2017-11-28,276.9123888166062
2017-11-29,275.87506561480757
2017-11-30,274.8395187389225
2017-12-01,273.9864757102462
2017-12-02,273.0381505393651
2017-12-03,272.78004292994353
2017-12-04,274.38378905491635
2017-12-05,276.11973754221833
2017-12-06,277.1618101518395
2017-12-07,277.2172793463801
2017-12-08,276.45444263303625
2017-12-09,274.5989603840121
2017-12-10,273.8449217601054
2017-12-11,275.1483397965183
2017-12-12,275.2153766646444
2017-12-13,275.13818474115453
2017-12-14,275.8506983215806
2017-12-15,275.4871843777696
2017-12-16,275.0615469450616
2017-12-17,274.56256418941945
2017-12-18,273.9906192162964
2017-12-19,274.487339946131
2017-12-20,275.5963433122878
2017-12-21,277.1909632744715
2017-12-22,278.2703634047304
2017-12-23,279.2447057125147
2017-12-24,279.7808674147179
2017-12-25,278.86157758956733
2017-12-26,277.90848690098534
2017-12-27,277.03933909505463
2017-12-28,275.86607377624193
2017-12-29,274.7926933922917
2017-12-30,276.6052221987782
2017-12-31,280.07443165560585
2018-01-01,279.96943517791016
2018-01-02,278.9038505362518
2018-01-03,279.1206956356936
2018-01-04,279.3520031223071
